EVE,DATE,LOC,HOUR
サッポロテイネ,札幌市内に近接の都会のスキー場。ワイルドにもおしゃれにも楽しめます,札幌市手稲区手稲本町593-3,(ハイランド)～2016年5月5日予定(ただし、4月11日以降は土・日・祝および4月29日～5月5日のみの営業)9：00～17：00(オリンピア)～2016年3月31日9：00～17：00(ナイターは16：00～21：00)※12/31は18：00まで
もーりす号・ホワイトクルージング (雪上車),冬ならではの期間限定雪上クルージング,札幌市中央区伏見5丁目3-7,通常の運行時間は13：00～14：00、17：00～18：00の1時間に2便ずつ…(予定)
クラブキッズ,初めてでも参加できるスクーバダイビング透明度抜群の積丹と支笏湖で催行！,札幌市厚別区中央3条3丁目14-20,体験ダイビングは午前(10：00～)・午後(13：00～)の2回開催午前参加の場合の集合時間支笏湖／地下鉄東西線大谷地駅7：20集合、または現地・幌美内9：00集合積丹／地下鉄東西線大谷地駅7：20集合、または現地・三国・積丹町観光せんたぁ9：00集合※開催時間等スケジュールは応相談※2名以上参加の場合は札幌(大谷地)と現地の無料送迎も行っています
円山公園,札幌市民に親しまれている桜の名所でお花見客も多く訪れます,札幌市中央区宮ケ丘,休園日なし
北海道博物館　(愛称：森のちゃれんが),北海道の自然・歴史・文化を紹介する総合博物館。北海道のすべてがここに――,札幌市厚別区厚別町小野幌53-2,開館時間：5月～9月 9：30～17：00(入館は16：30まで)10月～4月 9：30～16：30(入館は16：00まで)定休日：月曜日(祝日・振替休日の場合は直後の平日)年末年始(12月29日～1月3日)
赤れんが テラス,北海道庁旧本庁舎を眺めながら食事が楽しめるグルメスポット,札幌市中央区北2条西4丁目1番地,営業時間：各店舗によって異なる定休日：なし　※各店舗の営業日、営業時間は店舗によって異なる
札幌ステラプレイス,札幌駅でショッピングが楽しめる複合商業施設,札幌市中央区北5条西2丁目,営業時間ショッピング 10:00～21:00レストラン　 11:00～23:00※L.Oは店舗により異なります
札幌 場外市場,市場で競り落としたばかりの新鮮な食材が味わえる食堂,札幌市中央区北11条西21～23丁目,営業時間：6:00～15:00 ※大型店舗6:00～17:00定休日：なし
二条市場,市の中心部で道内の新鮮な食材を販売する店舗が勢ぞろい,札幌市中央区南3条東1丁目～2丁目,店舗により異なる
六花亭　札幌本店,北海道を代表する銘菓「六花亭」の魅力が詰まっています,札幌市中央区北4条西6丁目3-3,営業時間：1F店舗10:00～20:00、2F喫茶室10:30～18:00(LO17:30)、5Fギャラリー柏10:00～20:00※季節によって変動あり定休日：なし
北海道どさんこプラザ　札幌店,道内各地の美味しい特産品が大集合！,札幌市北区北6条西4丁目 JR札幌駅西通北口,営業時間：8:30～20:00定休日：なし
アサヒビール北海道工場,アサヒビールの美味しさの秘密がわかる工場見学が魅力,札幌市白石区南郷通4南1-1,電話受付時間：9：00～17：00(要予約)定休日：指定休日(月1～2回)、年末年始
札幌ウィンタースポーツミュージアム,ウィンタースポーツの歴史や楽しみ方を学べます,札幌市中央区宮の森1274番地,営業時間：5月～10月(夏期) 9:00～18:0011月～4月(冬期) 9:30～17:00定休日：なし
北海道大学北方生物圏フィールド科学センター植物園,季節ごとに移り変わる自然の流れを感じる空間,札幌市中央区北3条西8丁目,夏期(4/29～11/3)4/29～9/30 9:00～16:30 10/1～11/3 9:00～16:00 ※入園は30分前まで冬期(11/4～4/28)平日 10:00～15:30土曜 10:00～12:30※温室のみ開館、入館は30分前まで
札幌市資料館　(有形文化財・旧札幌控訴院),札幌の歴史や裁判の体験などができる歴史的建造物,札幌市中央区大通西13丁目,営業時間：9:00～19:00定休日：月曜日(月曜日が祝休日の場合は翌平日)、12月29日～1月3日
雪印メグミルク　酪農と乳の歴史館,酪農や乳業にまつわる史料を多数展示,札幌市東区苗穂町6丁目1-1,営業時間：9:00～11:00、13:00～15:30定休日：土曜、日曜、祝祭日
旧黒岩家住宅(旧簾舞通行屋),明治時代の開拓使によって建てられた宿泊施設が郷土資料館に,札幌市南区簾舞1条2丁目4-15,営業時間：9:00～16:00定休日：年末年始、月曜日(祝日の場合は翌日)、祝翌日
北海道神宮,正月三が日で約70万人の参拝者が集う、北海道の名物神社,札幌市中央区宮ヶ丘474,営業時間：4月～9月 9:00～17:00　　　　　10月～3月 9:00～16:00
さっぽろテレビ塔,札幌の全景が見渡せる、北海道の代表的スポット,札幌市中央区大通西1丁目,定休日／2017年11月8日、2018年1月1日営業時間／9：00～22：00
旭山記念公園,札幌の街並みを見渡せる、自然豊かな公園,札幌市中央区界川4丁目,営業時間：24時間利用可。ただし駐車場は6:00～22:00 定休日：なし
札幌ドーム,ドームツアーや展望台でドームの裏側を見ることができます,札幌市豊平区羊ケ丘1番地,【展望台】10:00～17:00【ドームツアー】10:00～16:00(1時間毎にスタート)※イベントの開催状況により営業日時が異なります。
札幌農学校第2農場,クラーク博士の構想によって発足した北海道最古の畜産経営の実践農場,札幌市北区北18条西8丁目（北海道大学札幌キャンパス内）,営業時間：屋外公開 8:30～17:00(通年)屋内公開(模範家畜房・穀物庫・牧牛舎) 10:00～16:00(4月29日～11月3日)定休日：毎月第4月曜日
清華亭,開拓使の貴賓接待所として建てられた歴史的建造物,札幌市北区北7条西7丁目,営業時間：9:00～16:00定休日：年末年始
中島公園,「日本の都市公園100選」にも認定された、街なかの公園,札幌市中央区中島公園1,営業時間：24時間開放定休日：なし
北海道大学イチョウ並木・ポプラ並木,北海道大学を代表する自然の風景,イチョウ並木：札幌市北区北13条西5～7丁目ポプラ並木：札幌市北区北11条西10丁目,常時開放
北海道庁旧本庁舎 赤れんが庁舎,約250万個のれんがを積んで設計された、洋風建築の重要文化財,札幌市中央区北3条西6丁目,営業時間：8:45～18:00定休日：年末年始(12月29日～1月3日)
豊平館,歴史的建造物のリニューアル完了！札幌市民憩いの「中島公園」、必見スポット！,札幌市中央区中島公園1-20,定休日　毎月第２火曜日、年末年始観覧　9:00～17:00（観覧受付は16:30まで）貸室　17:00～22:00
札幌もいわ山ロープウェイ,札幌のロマンチックな夜景が一望できる定番の観光スポット,札幌市中央区伏見5丁目3-7,営業時間：10:30～22:00(～11/23)、11:00～22:00(12/4～)定休日：11/24～12/3休業
八紘学園 北海道農業専門学校 花菖蒲園,北海道で最大規模の花菖蒲園,札幌市豊平区月寒東3条11丁目3,営業時間：7月上旬～下旬　8:30～17:30定休日：開園期間中 無休
元祖さっぽろラーメン横丁,今も昔も札幌ラーメン文化をリードしている名横丁,札幌市中央区南5条西3丁目 N・グランデビル1階,営業時間： 店舗により異なる定休日：店舗により異なる
北菓楼札幌本館,札幌の新名所がまた一つ誕生歴史的建造物でスイーツを！,札幌市中央区北1条西5丁目1-2,無休営業時間　10:00～19:00カフェ営業　10:00～18:00（ラストオーダーは17:30、お食事は11:00～15:00）
ISHIYA CAF,ISHIYAオリジナルスイーツを味わえるカフェ,札幌大通西4ビル地下2階（札幌市中央区大通西4丁目6番地1）,定休日／元日営業時間／8:00～22:00(営業時間を変更する場合がございます。)
幌美峠ラベンダー園／展望駐車場　,市街地にあるラベンダー園は日本夜景遺産にも認定,札幌市中央区盤渓471番地110（幌見峠頂上）,・幌見峠ラベンダー園開園期間／7月中旬～8月上旬開園時間／9：00～17：00（車の退場は18：00まで）・幌見峠展望駐車場営業期間／4月1日～11月30日営業時間／昼の部10：00～17：00（退場は18：00）、夜の部18：00～1：30（閉門は2：00）※気象状況により変更の場合あり
小金湯さくらの森,6ヘクタールの広大な敷地に美しい植栽札幌の花見の新名所が誕生しました,札幌市南区小金湯604-2,4/29～11/30は無休（12月～3月は閉館）開園時間／（4～8月）8:00～18:00、（9月）8:00～17:00、（10月）8:00～16:30、（11月）9:00～16:00
八剣山果樹園,果物も野菜も自分で収穫するといっそう美味しい！園内にはバーベキューハウスも有り！,北海道札幌市南区砥山126,定休日毎週水曜日（ただし、フルーツシーズンは無休）平日9:00～17:00、土日祝日9:00～19:00
定山渓ファーム,21ヘクタールの広大な敷地に広がる観光果樹園,札幌市南区定山渓832,営業時間／9：00～16：00（4月～10月）※無休10：00～15：00（11月～3月）※毎週月曜日休園
北海道くらし百貨店,2017年6月22日に「ノルベサ」1Fにオープン！北海道ならではの“いいもの”が各地から大集合！！,札幌市中央区南3条西5丁目1-1ノルベサ1階,定休日／年中無休営業時間／10：00～24：00
雪印パーラー 本店,札幌の喫茶店といえばココ。伝統の味を守り続ける老舗カフェ,札幌市中央区北2条西3丁目1-31太陽生命札幌ビル1階,定休日／なし営業時間／売店10：00～21：00、喫茶10：00～21：00（ラストオーダー20：30）
sitatte sapporo（シタッテサッポロ）／札幌フコク生命越山ビル,札幌中心部の新たなランドマークとなる“憩い”の複合ビル,北海道札幌市中央区北2条西3丁目1番地20号,7：30～23：30※定休日・営業時間は店舗により異なります
Locale-JZK（ロケール定山渓）,定山渓エリアの新たな情報発信基地2017年5月には定山渓初となるレンタサイクルが登場！,札幌市南区定山渓温泉東3-228（定山渓ビューホテル向かい）,定休日／水曜営業時間／10：00～18：00（レンタサイクル営業期間：5月1日～10月末）※店舗は通年営業※季節や天候により変動あり
ゆにガーデン,102万本のリナリアの花が咲き誇る庭園でロマンチックデートを,由仁町伏見134-2,冬期間休業営業期間／2017年4月22日（土）～10月22日（日）・10：00～17：00（土日祝日は9：00オープン）
ピパの湯 ゆ～りん館,「青の洞窟」をイメージした神秘的な洞窟露天で癒される温泉,美唄市東明町3区,・定休日なし7：00～22：00
ほろしん温泉 ほたる館,本物の健康と癒しの空間を提供「ほろしん温泉ほたる館」,沼田町幌新377-6,なし・10：00～22：00（日帰り入浴）
三笠(道の駅),ラーメンや濃厚ソフトなどのグルメがいっぱいの道の駅,三笠市岡山1056番地1,毎週月曜日(月曜祝日の場合は翌日)、年末年始・営業時間：(4月～9月) 9：00～18：00、(10月～3月)9：00～17：00
あいロード夕日の丘観光案内所,夕日が美しいスポット！石狩のおいしいものが充実した観光案内所,石狩市厚田区厚田12番地4,定休日なし(期間中)あいロード夕日の丘観光案内所の営業期間：4月中旬～10月末日まで(予定)、10：00から日没まで
マオイワイナリー,石狩平野のパノラマが目の前に広がる！夫婦で営むワイナリー,長沼町加賀団体,営業時間：4月～12月の土日祝、10：00～17：00
恋人の聖地／厚田公園展望台,沈む夕日が美しい絶景ポイント！二人の距離がぐっと縮まるデートコース,石狩市厚田区厚田,
YAMAZAKI　WINERY,クラシック音楽が流れるブドウ畑！家族で力を合わせたワイン造り,三笠市達布791-22,月～金、営業は土日祝のみ直売所の営業時間10：00～18：00（冬期～16：00）
宝水ワイナリー,人の手によるワイン造りを大切にしたワイナリー,岩見沢市宝水町364-3,定休日／なし(4月～12月)、水曜日(1月～3月)営業時間／10：00～17：00
田園の里うりゅう(道の駅),雨竜米を使ったアイスや揚げかまぼこなど、限定特産品が楽しめる,雨竜町満寿28番地3,12/31～1/2・5月～10月　9:00～18:00、11月～4月　10:00～16:00(各販売ブースによって変動あり)
鐘のなるまち・ちっぷべつ(道の駅),ブロッコリーのグリーンソフトが人気！国内最大級のスイングベルが鳴り響く,秩父別町2085番地,4/1～10/31　9：00～17：0011/1～3/31　9：00～16：00(5月～10月無休・11月～4月火曜定休・年末年始12/30～1/5休み)　
安田侃彫刻美術館 アルテピアッツァ美唄,学校跡を再生させた芸術の広場！彫刻をゆっくり見て回ったらカフェでひと休み,美唄市落合町栄町,開館時間：9：00～17：00※カフェアルテの営業時間10：00～17：00（11月中旬～3月中旬の平日は10：00～16：00）休館日：毎週火曜日、祝日の翌日（日曜除く）、年末年始(12月31日～1月5日)
ユンニの湯,肌がすべすべの美肌の湯！女性風呂だけのハーブ湯露天風呂が大好評,由仁町伏見122番地,定休日／不定休営業時間／朝風呂5：30～8：00、日帰り10：00～22：00
ライスランドふかがわ　(道の駅),道の駅全体がお米のテーマパーク！米がテーマのレストランの自慢は釜飯！,深川市音江町字広里59番7,定休日：年末年始(12／31～1／2)（4/1～10/31）9：00～19：00（11/1～3/31）9：00～17：00
マオイの丘公園(道の駅),種類豊富な野菜が並ぶ農産物直売所と、地元食材を使った長沼丼が人気,長沼町東10線南7番地,元日休み・センターハウス／5～10月9：00～20：00、11・4月9：00～18：00、12月～3月9：00～17：00
うたしないチロルの湯 (道の駅),40種類以上！の漬物が販売されている道の駅,歌志内市字中村72番2,■定休日年末年始(12/30～1/5)11月～3月は毎週月曜定休（祝日の場合は翌火曜）■営業時間4月～10月／9:00～18:0011月～3月／9:00～16:00■レストラン4月～10月／11：00～17：0011月～3月／11：00～14：00
鶴沼ワイナリー,敷地面積日本一の葡萄畑から次々と生み出されるワイン,浦臼町字於札内428-17,夏季／9：00～16：00（4月～10月）、定休日なし冬季／9：00～15：30（11月～翌年3月）、定休日は土日祝祭日、年末年始
えこりん村,個性豊かなテーマガーデンを巡り、アルパカスマイルに癒される,恵庭市牧場277-4,・定休日：営業期間中無休。要問合せ・営業時間：施設により異なる為、要問合せ
新千歳モーターランド (レンタルカート施設),F1レーサー気分でマシンを操縦。迫力あるスピード感は病みつきに！,千歳市美々1292－560,営業時間：9：00～21：00（冬期は9：00～16：00）定休日：無休(4月～11月)、年末年始
ウトナイ湖(道の駅),目の前は動植物の宝庫、野鳥の楽園。地元が誇る名物が勢揃い,苫小牧市植苗156-30,休館日　年末年始(12／31～1／2) 営業時間　9:00～18:00(3～10月)※4月29日～5月7日・8月11日～8月16日は19：00まで 、9:00～17:00(11～2月)
花ロードえにわ（道の駅）,かぼちゃプリンパンを買って、みずみずしい花の風景を楽しむ,恵庭市南島松817-18,定休日：年末年始(12月31日～1月2日)営業時間：・「ショップ8760」「ベーカリー工房カリンバ」9:00～19:00（4月～10月）、9:00～17:30（11月～3月）・「フード工房コンサバトリー」10:00～（LO.閉館30分前）・恵庭農畜産物直売所「花野菜（かのな）」9:00～17:00（4月上旬～11月下旬まで無休）
イコロの森 (体験型庭園観光施設),澄みきった空気に包まれて、森の宝物を探しに行こう,苫小牧市植苗565-1,営業期間：4/21～10/31・9：00～17：00(期間中無休)※乗馬クラブリーフは年中無休で営業しております。問合せ先：0144-53-1912
ハウスヤルビ奈井江 (道の駅),地元産の米粉で作ったライスクリームや、ふっくらとしたゆり根のどら焼きが自慢！,奈井江町字奈井江28-1,定休日／年末年始営業時間／9：30～17：00（11月～3月は10：00～16：00)※年ごとにより営業期間等が異なります
道の駅　たきかわ,地元産の素材を生かした食材が人気,滝川市江部乙町東11丁目13-3,定休日：年末年始(12/31と1/1)営業時間：4月中旬～11月中旬/9：00～18：00、11月中旬～4月中旬/9：00～17：00
カナディアンワールド公園,赤毛のアンの世界をそのまま再現した公園をゆっくりお散歩！,芦別市黄金町731番地,営業時間：開園期間4月下旬～10月下旬、開園時間10：00～17：30定休日：開園期間中無休
スタープラザ芦別（道の駅）,ドライブ途中の休憩に！自慢の芦別名物「ガタタンラーメン」が味わえる,芦別市北4条東1丁目1番地,定休日／12月31日～1月1日営業時間／売店9：00～19：30、レストラン11：30～19：30（11月～4月は18：00まで）
ノーザンホースパーク (馬とふれあえるテーマパーク),馬とほのぼのふれあい、花と緑の中を散策して心も体もリフレッシュ,苫小牧市美沢114－7,【営業時間】夏期　(4/15～6/30)9：00～17：00　　　(7/1～8/31)9：00～18：00　　　(9/1～11/5)9：00～17：00冬期　(11/6～4/14)10：00～16：00
サーモンパーク千歳,2015年8月8日リニューアルオープン！命を育む大いなる千歳川に癒される、サケのテーマパーク,千歳市花園2丁目4-2,定休日なし・営業時間9：00～18：00(一部店舗は20：30まで)
北海道中央葡萄酒・千歳ワイナリー,おすすめは北海道特産のハスカップを使ったフルーツワイン,千歳市高台1丁目7,営業時間：9:00～17:00定休日：11月～3月 土曜，日曜，祝日，年末年始 4月～10月 休まず営業
サンフラワー北竜(道の駅),約150万本のひまわりの咲く里で楽しむ自慢の温泉と特産品の数々,北竜町字板谷163-2,定休日・不定休道の駅開館時間 ：8:00～22:00
三笠天然温泉　太古の湯,天然素材の湯船に浸り、女性に人気の岩盤浴でリフレッシュ！,三笠市岡山1042-20,営業時間：10:00～23:00(最終受付 22:00)定休日：なし
三井アウトレットパーク 札幌北広島,国内外の注目ブランドがズラリ！,北広島市大曲幸町3丁目7-6,・営業時間物販／10：00～20：00飲食／11：00～21：00※店舗により一部異なりますフードコート／10：30～21：00(LO20：30)・定休日：不定
北海道子どもの国,日本の都市公園100選にも選定された道立都市公園,砂川市北光401-1,無休・終日開放
ハイジ牧場,約100品種以上の動物たちと戯れながら牧場体験を楽しむ,長沼町東9線南2番,期間中無休(4月中旬～11月上旬)4/中旬～8/31　10：00～18：009/1～11/上旬　10：00～17：00
北海道グリーンランド遊園地,北海道最大高さ85メートルの大観覧車をはじめ、全46機種のアトラクション,岩見沢市志文町1015番地　いわみざわ公園,2016年は4月23日(土)～10月23日(日)開園予定無休・9：00～17：00※7/10・8/21(花火大会)、7/16・17(ジョインアライブ)は～21：00※4/29～5/8は～19：00、7/23～8/16は～20：00
佐藤水産　サーモンファクトリー,鮭のことならお任せ！出来たてオリジナルグルメが味わえる鮭の専門店,石狩市新港東1丁目54,営業時間：平日／10:00～18：00、土日祝／10:00～19：00 、1～3月／10:00～17：00定休日：1月1日 
たきかわスカイパーク,遮るものがない大空を鳥のように舞う。優雅な空中散歩に挑戦を！,滝川市中島町139-4（石狩川河川敷）,スカイミュージアム 9:00～17:004月中旬から11月中旬／無休11月中旬から4月中旬／土日祝年末年始※体験飛行についてはお問い合わせ下さい。
ローズガーデンちっぷべつ(バラ園),"開園期間は6月下旬～10月上旬。300種3,000株のバラが美しさを競う",秩父別町3条東2丁目,開園期間：6下旬～10上旬営業時間：9:00～17:00(入園は16：45まで)
石狩ホーストレック／押琴ファーム　(乗馬),四季折々の楽しみがある野外騎乗専門のクラブ。一人ひとり親切に教えてくれます,当別町ビトエ5266,営業時間：要問合せ　(お問い合わせ先)　info@i-horse.jp定休日：不定休
北海道オフロードパーク (バイク・四輪バギー),マイナスイオンを浴びながら、自然の中を駆け抜ける爽快感がたまらない！,千歳市泉沢1719番,営業時間：6月～8月／土日祝9:00～17:00、平日10:00～16:009月～5月／10:00～16:00定休日：木曜
丸駒温泉旅館,四季の彩りと風情が感じられる眺望豊かな露天風呂,千歳市幌美内7番地,営業時間：10:00～15:00(日帰り)定休日：無休
支笏湖観光船(水中遊覧船),湖と山が織り成す青と緑のコントラストが、大自然の偉大さを演出,千歳市支笏湖温泉,営業期間4月中旬～11月上旬
むかわ温泉四季の湯,温泉もスポーツジムも利用OK。アレコレ楽しめる大型複合施設,むかわ町美幸3-3-1,定休日／なし（館内の食事処は不定休）営業時悪寒／10：00～22：00
キリンビール北海道千歳工場,「一番搾り うまさの秘密体感ツアー」を実施中！,千歳市上長都949-1,見学ツアー時間／9:30～11:30、13:10～15:30 レストラン営業時間／10:30～21:00(ラストオーダー20:30)定休日／見学ツアーは月曜日(祝日の場合は次の平日が休館)、レストランは第4月曜日
小川農場　,北海道の短い夏を直売所併設のひまわり迷路で楽しもう！,千歳市根志越296-1,なし(直売所オープンは5月～12月下旬)・9：00～17：00
松浦農園,夏はジャガイモが旬！収穫体験が楽しめる農園です,千歳市中央2478,営業時間：9：00～17：00(4月上旬～12月中旬)
サッポロビール北海道工場,できたて生ビールの試飲もできる工場見学が人気,恵庭市戸磯542-1,・定休日　毎週月曜日（祝日の場合翌日）、年末年始および臨時休館日・営業時間10：00～16：00・工場見学時間10：00、11：00、13：00、14：00、15：00、16：00開始
むかわ町立穂別博物館,化石を見て、触れて、学んで、一億年前の恐竜時代へタイムスリップ！,むかわ町穂別80-6,月、祝日の翌日、年末年始・9：30～17：00(受付16：30まで) ※7・8月無休
千歳アウトレットモール・レラ,北海道最大級！の屋外型アウトレットモール,千歳市柏台南1丁目2-1,■定休日なし■営業時間10時～19時（季節・店舗により変動）
むかわ町穂別地球体験館,地球環境を体感する46億年の地球旅行へ出発！,むかわ町穂別79-5,休館日／月曜・祝日の翌日※7・8月は無休(12月～3月中旬までは冬季閉館)開館時間／9：30～16：30
ノース・スノーランドイン千歳,一面銀世界の中で冬のアクティビティを心行くまで楽しめます,千歳市蘭越26番地（ザ・ノースカントリーゴルフクラフ゛内）,2016年12月29日(木)～2017年3月5日(日)　9:00～16：00迄(15：30受付終了)営業期間中無休※積雪状態により営業期間・営業時間を変更する場合があります
マウントレースイスキー場,幅広くゆったりとしたコース設計で女性や子供にやさしいゲレンデ,夕張市末広2-4,営業期間：2016年12月3日～2017年3月26日ナイター営業：2016年12月17日～2017年3月12日営業時間：9：00～19：00ナイター営業：15：00～19：00
萌の丘,ドラマのロケ地になった、萌の丘,沼田町北竜1076,
夕張メロード,地場野菜の直売所のほか、ご当地スイーツもいっぱいの道の駅！,夕張市紅葉山526-19,休館日／1/1～1/4、1/31、4/30、7/31、8/22、10/31※臨時休業あり、無休（5月～7/30）、月曜休（8月～4月）開館時間／9:00～19:00(4/25～8/17)、10:00～18:00(8/18～4/24)※トイレは24時間使用可能
天然温泉レースイの湯,夕張を代表するリゾートホテルの天然温泉をぜいたくに使おう！,夕張市末広2-4 ,日帰り入浴：10：00～20:30
ゆうばり自然体験塾,目で、心で、体で体験する夕張の魅力！,夕張市南部岳見町22番地（旧夕張幌南小学校） ,それぞれのメニューで実施期間・実施時間が違います。詳しくはお問合せください
支笏湖ビジターセンター,支笏湖の自然や見どころを、ジオラマやパネルなどでわかりやすく解説 ,千歳市支笏湖温泉番外地,・年末年始、冬期12月～3月は毎週火曜日(祝日の場合は翌日)　 ・9:00～17:30(冬期12月～3月は9:30～16:30)
支笏湖野鳥の森,野鳥のさえずりを聞きながらの森林散策で、癒される,千歳市支笏湖温泉,なし・7:00～21：00
明日萌(あしもい)駅,ＮＨＫ朝の連続テレビ小説「すずらん」の舞台となった明日萌駅（恵比島駅）,沼田町恵比島,5月～10月(予定)
いわみざわ公園バラ園,約630品種のバラとハマナスを鑑賞できる道内最大級のバラ園,岩見沢市志文町794番地,年中無休バラ園（4/29～11/3）営業時間 9：00～17：00（６月中旬～８月中旬まで 18：00閉園）
秋田谷農園,たわわに実ったいちごや、ブルーベリーの果物狩り体験！,岩見沢市栗沢町上幌30番地（旧林農園）,果物狩り期間は無休・9：00～16：00
リトルロックヒルズ,広大な敷地の庭園を散策して、四季の風景の移ろいを楽しむ,岩見沢市栗沢町上幌684-2,4～9月無休、10～12月火曜日、1～3月は要問合せ(天候による)
